Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666453973.9311945,0,57174,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.6,327841.0017678486,4689314.80350236,19,T
1666453974.9306922,0,57175,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.6,327841.0017678486,4689314.80350236,19,T
1666453975.9311466,0,57176,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.6,327841.0017678486,4689314.80350236,19,T
1666453976.9299366,0,57177,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.6,327841.0017678486,4689314.80350236,19,T
1666453977.9300401,0,57178,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.6,327841.0017678486,4689314.80350236,19,T
1666453978.930582,0,57179,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453979.9311554,0,57180,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453980.9289117,0,57181,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453981.9250007,0,57182,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453982.9260628,0,57183,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453983.9257855,0,57184,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453984.9298494,0,57185,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453985.930428,0,57186,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453986.9310856,0,57187,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453987.925203,0,57188,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453988.9249659,0,57189,0,GPS1_FRAME,42.33705166666667,-71.08979333333333,16.5,327841.0017678486,4689314.80350236,19,T
1666453989.9300585,0,57190,0,GPS1_FRAME,42.337048333333335,-71.08979333333333,16.4,327840.9926713637,4689314.433361088,19,T
1666453990.9247036,0,57191,0,GPS1_FRAME,42.33703833333333,-71.08979,16.2,327841.2399963817,4689313.316188432,19,T
1666453991.9259083,0,57192,0,GPS1_FRAME,42.337021666666665,-71.08978,16.1,327842.0183576704,4689311.445235621,19,T
